web-scraper-order,text,section,topic,urls,userMentions,isReply,emojis,Expression of emotions,Use of humor,Self-disclosure,Referring explicitly to others' messages,Asking questions,"Complimenting, expressing appreciation or criticism",Expressing agreement or disagreement,"Phatics, salutations"
1604198717-1105,"Some definitions will be proposed here, trying to enhance our probabilities of constructing a clever tool for studying the signals in the context of a well-characterized background (noise).
It is known that language alters the way we think, idioms with many words for describing some sort of experiences allow a high sensitive power for ascertaining subtle differences. The glossary I will try to present below is designed with the purpose of letting us think in a richer way. The aim is to recognize noise patterns as easily as possible, to avoid the distraction of our attention (by apophenia or fake signals).
Glossary
Texture: set of common features observed in several samples of spectrograms, within the zone of noise or noisy background. Each texture is described by the shape, direction, color and frequency of the features.
Uniform or smooth noise: Zone where the noise does not exhibit a noticeable variation of the normalized energy, when it is observed with the naked eye.
An example of this texture is shown in frame 1 of the spectrogram Hanford-O2a. Watch the zones between 64 and 256 Hz, please. Uniform dark color is sometimes crossed by slightly discernible horizontal lines, whose normalized energy is below 1 --and perhaps are minor to 0.5. The smooth texture corresponds to the domains with almost null normalized energy. It can be discussed if low energy lines belong to the texture or not, and if criteria for defining them as a separate domain rely on shape, normalized energy or both properties. More than 90% of the surface from frame 1 in this spectrogram, ranging from 64 to 256 Hz, can be said to be smooth or uniform, regardless the classification of the aforementioned lines with 0.5-1 units of normalized energy.
Note: high frequency limit for smooth domain might be 512 Hz, however I circumvented the discusion about the new texture seen above and very close this limit. The main objective here is to provide a clean picture of the texture, far from the boundaries and the subtle variations naturally occurring there.
",collections,Development of a reliable classification for noisy background-textures,/projects/zooniverse/gravity-spy/talk/subjects/10967327,,,,0,0,1,0,0,0,0,0
1604198578-706,"Hi, Christine. Would it help in checking them if I give you a list of the code numbers of my collection? @christingle
Brian
",collections,Source of 1 second repeats,/users/christingle,@christingle,,,0,0,0,0,1,0,0,0
1604198874-1554,"Right, this is one of the more obvious forms (among many) that Scattered Light glitches have been taking during the third observation run O3 at Virgo.
Now to create an actual collection, click on the ""Collect"" button under the image (to the right of the heart-shaped Favorite button). And keep adding to it!
You can also use the Similarity Search tool to find further examples or to create collections from scratch. (Sometimes it will find things that don't look so similar after all, but you can weed them out afterwards.)
",collections,Hills - VIRGO O3,https://gravityspytools.ciera.northwestern.edu/search/,,TRUE,,1,0,0,0,0,1,0,0
1604199517-2566,"As for the Done and Talk button.  I keep doing that, and they keep getting buried, unanswered.
Hence, my posts here.
",help,how narrow can a Blip be?,,,,,0,1,1,0,0,0,0,0
1604199472-2499,"Thanks for your reply, but I don't understand what retiring images have to do with the unlocking/locking of my level 5.
",help,Level 5 unlocked and locked again,,,TRUE,,0,0,0,1,0,1,0,0
1604199409-2408,"Everyone,
This is a really great conversation, I'll be sure to relay everything that is said to the Zooniverse web developers. Certain things (like double classification) are hard to circumvent, as other Zooniverse projects rely on this feature for their projects. However, I certainly agree about the button placement!
I'll keep this conversation posted with any updates I hear.
",help,A thought on layout,,,,,0,0,0,0,0,1,1,1
1604199645-2693,"So, I've started to dabble with using collections, and I've come across a few issues that are deal breakers for my continued use of them. So, I though I'd offer a few suggestions on what I would like to see added.

When searching through the forum using hashtags or just a general search, there needs to be a way to change the view of every subject listed. I can't use the search tool currently and find the kind of subject I'm looking for. It currently requires a click through to each subject to then change the view that might be required to see if it matches a collection I'm trying to find subjects for. One recent search I wish I had this on recently was over 700 subjects! I can't possibly click through each. This has been requested multiple times from many different people and with other categories coming and many more subjects this is a requirement as I see it. It's not a wish I had. It's a must have.

1a)  After a search, there should be a way to select multiple subjects and add them easily to a collection. Subjects already selected, should have a visual reminder of their selection and should remain selected across multiple pages of the search results (like when clicking to page 2 or 3 of the search results). There could be a select all button and a deselect all button along with a counter as to the number of currently selected subjects (which tracks across multiple search pages). Then one final button to add the selected subjects to a collection.

This suggestion, might as well actually be a bug... if you're viewing a collection for which you are not a collaborator. And you use the select multiple subjects option and go to multiple pages with your multiple selections AND one of the subjects you've selected is already in your collection... you get a rather uninspiring red error message about it already being in your collection. No subjects are then added to your collection. It doesn't list the subject number that is already in your collection so you can't even figure out which one is messing everything up. The best option would be to have it add all of the subjects that are selected (because you DO want them added) and when it confirms they were added just list how many were newly added and how many were duplicates.

These are my current thoughts, and I encourage anyone who uses collections to contribute ideas.
",help,Collection Suggestions,,,,,0,0,1,0,0,1,0,0
1604199409-2413,"I agree. Put the buttons on top. It would be a huge time save and make the experience a little more enjoyable. Please _
",help,A thought on layout,,,TRUE,,0,0,0,0,0,0,1,0
1604199787-2784,"Noise band was used by @BuzzGpc from the team to that type which became by now scratchy class.  As it's a very frequent type, this hashtag became very popular as well. Here is an old post they were mentioned: https://www.zooniverse.org/projects/zooniverse/gravity-spy/talk/331/49079
and an other one to overview: https://www.zooniverse.org/projects/zooniverse/gravity-spy/talk/331/54573?comment=108453&page=1
",help,What is #noiseband ?,/users/BuzzGpc;https://www.zooniverse.org/projects/zooniverse/gravity-spy/talk/331/49079;https://www.zooniverse.org/projects/zooniverse/gravity-spy/talk/331/54573?comment=108453&page=1,@BuzzGpc,,,0,0,0,1,0,0,0,0
1604199224-2213,"Could you share a screenshot of when you are prompted? Thanks. I'll need to investigate this a bit more to figure out what is going on.
",help,Problem with leveling up,,,TRUE,,0,0,0,0,1,1,0,0
1604198566-660,"Thank you
",help,Field guide+classification,,,TRUE,,1,0,0,0,0,1,0,0
1604198711-1097,"@parchbold - See/explore the ""Why don't we use audio ?"" topic.
",help,Expert Clasifications,/users/parchbold;https://www.zooniverse.org/projects/zooniverse/gravity-spy/talk/331/60474,@parchbold,TRUE,,0,0,0,1,0,0,0,0
1604200754-3371,"I classified this as a koi fish, but then, piqued by curiosity, I added its characteristics into the feature search up top: High Freq, Evolving, and Short. For some reason, the search doesn't believe blips or koi fish can reach high frequencies. I removed the 'High Freq', and blips and koi fish both appeared. Please fix this.
",help,High frequency koi fish - Subject 39992892,/projects/zooniverse/gravity-spy/talk/subjects/39992892,,,,0,0,1,0,0,1,0,0
1604198617-824,"@JBAlberts I apologize for this delay. There has been a problem with the algorithm that I have been trying to fix since this post occurred that some people stopped seeing workflows they previously unlocked. I appreciate your patience with this. Normally you would have already moved on the next workflow. I will inform you as soon as this has been resolved
",help,Promotion Algorithm Back Online. Will keep people posted!,/users/JBAlberts,@JBAlberts,,,1,0,1,0,0,1,0,0
1604198921-1719,"Yes - since as of now all we have to work with in this projects are the Omega Scan images, we should stick to morphological classifications. @Jrsmith02 do you have any comments about the low freq burst/scattered light discrepancy? I know there are different subclasses of scattered lights that look differently in the spectrograms.
",help,Scattered light or low freq burst?,/users/Jrsmith02,@Jrsmith02,,,0,0,0,0,1,0,1,0
1604198973-1837,"I hope that sbc538 will be able to get me back onto material at Level 4 that I have not already seen, otherwise there will be nothing left for me to do in this project
",help,Thrown off the project?,,,,,0,0,1,0,0,1,0,0
1604198842-1422,"Just got another repeat image Subject 3816221, which I had already classified and commented on yesterday. I maybe getting more repeated images but only the unusual ones are noticeable.
",help,Same images keep repeating,,,,,0,0,1,0,0,0,0,0
1604199787-2782,"I'm looking through the popular tags and I see one of them is #noiseband , but I can't work out quite what consistent characteristics it is supposed to have. Can anyone explain?
",help,What is #noiseband ?,/projects/zooniverse/gravity-spy/talk/tags/noiseband,,,,0,0,1,0,1,0,0,0
1604199890-2866,"Perhaps you might need more classification to do on level 5 to level up to 7. Classification made on level 5 and 6 is very useful for the project, thank you for contributing!
",help,Levelling Up Question,,,,,0,0,0,0,0,1,0,0
1604199945-2913,"Also
",help,Chirps spotted on Virgo,/projects/zooniverse/gravity-spy/talk/subjects/25771817,,,,0,0,0,0,0,0,0,0
1604200055-3004,"10070989 
",help,Sub-spectrogram wave,/projects/zooniverse/gravity-spy/talk/subjects/10070989,,,😎,1,1,0,0,0,0,0,0
1604200522-3305,"There's like approximately one detection per month (give or take (4 months of advanced LIGO operation, 2 positive detections, 1 candidate not promoted to the level of detection... but very chirpish in the detector most sensitive))
Think of all the stuff you'd hear that wouldn't be a nice easy to hear chirp? I love listening to the chirps.... but I couldn't stand the constant barrage of trash I think you'd inevitably get.
",help,Why don't we use audio ?,,,,,1,0,0,0,1,0,0,0
1604198566-658,"Hi @tiovitolan if it looks like one of the ones in the field guide, classify it as 'none of the above' in the current workflow that you're in. This will move that image to workflows that have more class options, and it will be classified in those. You will see these workflows soon!
The images that are in each workflow are due to the confidence that computer classification algorithms had for that particular image. Finding these images is useful to gauge the images that computers get tripped up on.
",help,Field guide+classification,/users/tiovitolan,@tiovitolan,TRUE,,1,0,0,0,0,0,0,1
1604199561-2597,"Not for the first time I have had the same experience as @EcceruElme; and the facilities are still down First time, I thought it was deliberate.
",help,I'm not getting the details options for none-of-the-above,/users/EcceruElme,@EcceruElme;,,,0,0,1,0,0,0,0,0
1604200775-3386,"The central frequency (as reported by the Gravity Spy tools) together with the bandwidth describes the range of frequencies in which the glitch rises above the noise level. E.g. readings of, respectively, 170Hz and 270Hz mean that the glitch had spanned frequencies from 35Hz to 305Hz.
The raw data are sampled 16384 times per second in LIGO (20000 times per second in Virgo), and thus can represent frequencies up to the Nyquist limit of 8192Hz for LIGO (10kHz for Virgo). But our spectrograms are truncated to the range 10-2048Hz where most glitches of interest occur. A central frequency larger than 2048Hz means that there were things going on above the top edge of the picture where we can't see them.
",help,Central frequency,https://gravityspytools.ciera.northwestern.edu/;https://en.wikipedia.org/wiki/Nyquist_frequency,,TRUE,,0,0,0,0,0,0,0,0
1604199618-2681,"The increasing section on the right side of the second 'event' ... reminds me of what the signal of a gravitational wave which showed on the glitch itself for I believe it was GW170817 from Livingston. The third 'event' or blip then could be the chirp? #chirpish
",help,blips,/projects/zooniverse/gravity-spy/talk/tags/chirpish,,,,0,0,0,0,1,0,0,0
1604197755-21,"Hey great question!
I would say these examples show the usefulness of the fact that with the interface as is you can actually select multiple options for a given image. Normally, this is NOT a good idea (which is why we say not to in the tutorial) although clearly in this case it makes sense! So feel free to go that route next time you see one of these images and we will improve the help/tutorial/examples to clarify what to do with such images in full release!
Thanks for your feedback!
Scotty
",help,combined patterns,,,TRUE,,1,0,1,0,0,1,0,1
1604199787-2788,"@futurewaves an old tag discussion. I was looking up #freddy @EcceruElme which is not currently in the library?
",help,What is #noiseband ?,/users/futurewaves;/projects/zooniverse/gravity-spy/talk/tags/freddy;/users/EcceruElme,@futurewaves;@EcceruElme,,,0,0,0,0,1,0,0,0
1604200351-3179,"I am not an expert on Virgo glitches, but this might fit the ""25Hz short burst"" (often abbreviated 25sb) glitch class proposal - taking into account that the present subject image was created with finer time resolution and coarser frequency resolution than the head picture of the proposal thread and thus looks narrower and more vertical. (There are similar-looking examples in the reference collection cited there.)
Welcome to Gravity Spy Talk!
",help,Glitch classification,/projects/zooniverse/gravity-spy/talk/3196/918633;/projects/zooniverse/gravity-spy/collections/ecceruelme/virgo-25sb,,TRUE,,0,0,1,0,0,0,0,1
1604198804-1355,"@wonwontonton have you found that you have unlocked the next level now? As I mentioned to @nk9511 we have heard reports from other users about some issues with the algorithm that does level promotion and we are working constantly to improve it. Please let me know know and thanks for posting in talk!
",help,Classify shows only 3 possibilities,/users/wonwontonton;/users/nk9511,@wonwontonton;@nk9511,TRUE,,0,0,0,0,1,1,0,0
1604200299-3149,"Well that explains why I couldn't post, thanks. I guess I'll make use of the Collections section for that stuff.
",help,I'm getting a bug when trying to make a comment.,,,,,0,0,1,0,0,1,0,0
1604200583-3328,"Well observed.
This and many similar subjects fits the proposed Virgo Viola glitch class. These are the Virgo analogue of LIGO violin mode harmonics. Virgo's test mass suspensions are taller than LIGO's and their longer fibers resonate at somewhat lower frequencies, near 256-275Hz, 407-410Hz, 440-450Hz, ~512Hz, 750-770Hz and some others, whence the ""viola"" nickname.
None Of The Above is appropriate for now when there isn't a dominant 410Hz line or 170Hz line / Pirate Ship.  The Gravity Spy researchers are waiting for feedback from the Virgo detector engineers before making the existing proposals official.
",help,New glitch at 800Hz,/projects/zooniverse/gravity-spy/talk/3196/918706;/projects/zooniverse/gravity-spy/talk/3196,,TRUE,,0,0,0,1,0,1,0,0
1604199472-2497,"Today Gravity Spy unlocked level 5 for me and asked me to participate more in TALK since ""I was experienced"".
The next time I signed in level 5 was locked again.
What happened?
",help,Level 5 unlocked and locked again,,,,,0,0,1,0,1,0,0,0
1604199604-2666,"Hi there, I'm sorry for my own late reply, I just got back on a few days ago and I'm on level 4, so it's all good, thanks so much for the help!
",help,Can't get past level 1,,,TRUE,,1,0,1,0,0,1,0,1
1604198734-1171,"NOTE: We have made a slight update to our process for creating proposals - instead of 10 examples of the proposed glitch we are now asking for at least 75 examples. The reason for this change is that over time we have noted that the more instances we have of a strange new glitch occurring, the more likely it is that we will see it again and more likely that we will be able to narrow down a cause for it. Please see first post in thread for update.
",ligo,Process for making new glitch classes official,,,,,0,0,0,0,0,0,0,0
1604198312-387,"100/17 but the series contained lot of O1 subjects and many 1080 lines. The number of NOTA would be higher with more O2 subjects. I agree 100 classification is not enough to give a good estimation.
",ligo,Spirograph,,,,,0,0,0,0,0,0,1,0
1604198665-938,"For the record, glitches resembling the O2a shower towers have intermittently reoccurred at Hanford throughout O3a, with a pronounced peak in August 2019 - but I haven't seen any from O3b, nor anything like them from Livingston.
Bulk collection (all eras): shower
Metadata view of same
",ligo,Shower towers,/projects/zooniverse/gravity-spy/collections/zngabitant/shower;https://gravityspytools.ciera.northwestern.edu/collection-info/collection-info/?username=zngabitant&collection_display_name=shower,,TRUE,,0,0,0,0,0,0,0,0
1604198279-317,"If you look closely on frame 4 of the above example, immediately below the 2K signal there is a short signal of lower frequency than the 1080 line, and this is clearer at -1 sec and earlier. I have often seen this where 1080 line occurs at the same time as 2K glitches
",ligo,MicroHF,,,,,0,0,0,0,0,0,0,0
1604198618-835,"P.S. and I apologize for not having done all my homework here - I should have noticed your old proposal much earlier. Thanks for double-checking what I'm doing!
",ligo,Violin and Bass Drum (Coil Driver),/projects/zooniverse/gravity-spy/talk/762/637085,,TRUE,,1,0,1,1,0,1,0,0
1604698998-2817,"pixlfb frame 4 has triplet of joined blips with #antennae #tuningforks and a partner set of three at -1.8
",notes,Subject 10982070,/projects/zooniverse/gravity-spy/talk/subjects/10982070;/projects/zooniverse/gravity-spy/talk/tags/antennae;/projects/zooniverse/gravity-spy/talk/tags/tuningforks,,,,0,0,0,0,0,0,0,0
1604650371-13444,"Viola
",notes,Subject 25768128,/projects/zooniverse/gravity-spy/talk/subjects/25768128,,,,1,0,0,0,0,0,0,0
1604720099-12011,"repeating low freq bursts
",notes,Subject 3952686,/projects/zooniverse/gravity-spy/talk/subjects/3952686,,,,0,0,0,0,0,0,0,0
1604565477-3006,"A blip combined to a mid-frequency burst not yet named
",notes,Subject 28681595,/projects/zooniverse/gravity-spy/talk/subjects/28681595,,,,0,0,0,0,0,0,0,0
1604873318-5293,"Trigger event is a short (20ms) pulse of violin mode but the spectrogram is dominated by a 1080 line. What is the correct classification for this subject?
Also, the 1080 line seems to fall at 1.0s to ~500Hz and then recover, but this may just be background noise.
",notes,Subject 5869687,/projects/zooniverse/gravity-spy/talk/subjects/5869687,,,,0,0,0,0,1,0,0,0
1604748739-14079,"early #zerosignal 3773606.0
SUBJECT METADATA
date	20160907
Filename1	L1_9GALGArG9J_spectrogram_0.5.png
Filename2	L1_9GALGArG9J_spectrogram_1.0.png
Filename3	L1_9GALGArG9J_spectrogram_2.0.png
Filename4	L1_9GALGArG9J_spectrogram_4.0.png
subject_id	oTR30GDBBA
error the subject image is different in the sim search results
same zoo ID and gs id but image different? livingston O1 vs Livingston
",notes,Subject 20884311,/projects/zooniverse/gravity-spy/talk/subjects/3773606;/projects/zooniverse/gravity-spy/talk/tags/zerosignal,,,,0,0,0,0,1,0,0,0
1604720347-3293,"possibly #hangingdrop
",notes,Subject 10526771,/projects/zooniverse/gravity-spy/talk/tags/hangingdrop,,,,0,0,0,0,0,0,0,0
1604741639-11438,"Chirpy base?
",notes,Subject 8626962,/projects/zooniverse/gravity-spy/talk/subjects/8626962,,,,0,0,0,0,1,0,0,0
1604762531-12465,"#lowfrequency
#buttons
#lowfrequencybud
",notes,Subject 10975902,/projects/zooniverse/gravity-spy/talk/subjects/10975902;/projects/zooniverse/gravity-spy/talk/tags/lowfrequency;/projects/zooniverse/gravity-spy/talk/tags/buttons;/projects/zooniverse/gravity-spy/talk/tags/lowfrequencybud,,,,0,0,0,0,0,0,0,0
1604722299-4021,"#wandering-line
",notes,Subject 10514447,/projects/zooniverse/gravity-spy/talk/tags/wandering-line,,,,0,0,0,0,0,0,0,0
1604722610-12427,"#chirpish
",notes,Subject 3776864,/projects/zooniverse/gravity-spy/talk/subjects/3776864;/projects/zooniverse/gravity-spy/talk/tags/chirpish,,,,0,0,0,0,0,0,0,0
1604519573-2683,"#unique
",notes,Subject 6074698,/projects/zooniverse/gravity-spy/talk/subjects/6074698;/projects/zooniverse/gravity-spy/talk/tags/unique,,,,0,0,0,0,0,0,0,0
1604813674-6946,"#lfbnew horizontal lfb, frame 4 glitch?
",notes,Subject 10152822,/projects/zooniverse/gravity-spy/talk/subjects/10152822;/projects/zooniverse/gravity-spy/talk/tags/lfbnew,,,,0,0,0,0,1,0,0,0
1604504469-2564,"#lighthouse
",notes,Subject 2209920,/projects/zooniverse/gravity-spy/talk/tags/lighthouse,,,,0,0,0,0,0,0,0,0
1604715741-5191,"#violin mode harmonic of a single string
",notes,Subject 5736207,/projects/zooniverse/gravity-spy/talk/subjects/5736207;/projects/zooniverse/gravity-spy/talk/tags/violin,,,,0,0,0,0,0,0,0,0
1604692682-1754,"#dragon
",notes,Subject 5843763,/projects/zooniverse/gravity-spy/talk/subjects/5843763;/projects/zooniverse/gravity-spy/talk/tags/dragon,,,,0,0,0,0,0,0,0,0
1604572871-4523,"particular low frequency line with a final single signal in more high frequency in short time
",notes,Subject 38036651,/projects/zooniverse/gravity-spy/talk/subjects/38036651,,,,0,0,0,0,0,0,0,0
1604501269-1888,"Koilike blip. #blik
",notes,Subject 5958756,/projects/zooniverse/gravity-spy/talk/subjects/5958756;/projects/zooniverse/gravity-spy/talk/tags/blik,,,,0,0,0,0,0,0,0,0
1604773025-20654,"#20hzline
there is a - 6 fifths sec spindle
#6fifths
",notes,Subject 28677556,/projects/zooniverse/gravity-spy/talk/tags/20hzline;/projects/zooniverse/gravity-spy/talk/tags/6fifths,,,,0,0,0,0,0,0,0,0
1604549559-652,"#damped_crowns
",notes,Subject 28677564,/projects/zooniverse/gravity-spy/talk/subjects/28677564;/projects/zooniverse/gravity-spy/talk/tags/damped_crowns,,,,0,0,0,0,0,0,0,0
1604743628-12332,"Cord
",notes,Subject 9812080,/projects/zooniverse/gravity-spy/talk/subjects/9812080,,,,0,0,0,0,0,0,0,0
1604686028-1163,"#lfbhelix
",notes,Subject 9668927,/projects/zooniverse/gravity-spy/talk/subjects/9668927;/projects/zooniverse/gravity-spy/talk/tags/lfbhelix,,,,0,0,0,0,0,0,0,0
1604691561-2004,"Smurf village  #combination
",notes,Subject 6067359,/projects/zooniverse/gravity-spy/talk/subjects/6067359;/projects/zooniverse/gravity-spy/talk/tags/combination,,,😃,1,0,0,0,0,0,0,0
1604728720-6740,"This looks related to falcon, but the 'owl eyes' and wings are not typical, and there is a 1 sec signal in a void line at 500 Hz. @EcceruElme
",notes,Subject 11093682,/projects/zooniverse/gravity-spy/talk/subjects/11093682;/users/EcceruElme,@EcceruElme,,,0,0,0,0,0,0,0,0
1604579047-5954,"Nice catch, too!
This is another class originally discovered by Gravity Spy contributors and added to levels 5 and 7 a year ago under the name Crown. (Others had been reminded of sparrows on a wire, of paw prints, and more.) They are not yet in the Field Guide (an update to the Field Guide is in work), but you'll find more information and examples in the original glitch class proposal thread. At levels 1-4 they can be classified as None Of The Above, but you can already make a collection of them and study their variability.
",notes,Subject 39397364,/projects/zooniverse/gravity-spy/talk/762/926241,,TRUE,,0,0,0,1,1,1,1,0
1604688998-1630,"#doublekoi and light modulation
",notes,Subject 3825260,/projects/zooniverse/gravity-spy/talk/tags/doublekoi,,,,0,0,0,0,0,0,0,0
1604719517-5739,"#motherandchild #blip
",notes,Subject 10977070,/projects/zooniverse/gravity-spy/talk/tags/motherandchild;/projects/zooniverse/gravity-spy/talk/tags/blip,,,,0,0,0,0,0,0,0,0
1604529446-3158,"#barbed #tomte
",notes,Subject 6073857,/projects/zooniverse/gravity-spy/talk/subjects/6073857;/projects/zooniverse/gravity-spy/talk/tags/barbed;/projects/zooniverse/gravity-spy/talk/tags/tomte,,,,0,0,0,0,0,0,0,0
1604760748-17510,"#vertical glitch
",notes,Subject 25660692,/projects/zooniverse/gravity-spy/talk/tags/vertical,,,,0,0,0,0,0,0,0,0
1604804499-5942,"microHF micro high frequency glitch.
",notes,Subject 3819045,,,,,0,0,0,0,0,0,0,0
1604500559-1783,"no glitch
",notes,Subject 3496717,,,,,0,0,0,0,0,0,0,0
1604689762-1733,"oops tagged no glitch? almost no glitch
",notes,Subject 3820106,,,,,1,0,0,0,1,0,0,0
1604763338-13336,"#scatteredlight main ~53Hz
",notes,Subject 2193889,/projects/zooniverse/gravity-spy/talk/tags/scatteredlight,,,,0,0,0,0,1,0,0,0
1604495739-1249,"this violin variant appears to be a vertical glitch? in frame 4 you can see the ENERGY and frequency of the lower frequency waves are in sync with the high frequency violin signals? what is the best sync software? may be useful?
",notes,Subject 5870288,/projects/zooniverse/gravity-spy/talk/subjects/5870288,,,,0,0,0,0,1,0,0,0
1604682427-10341,"#scratchy #noiseband
",notes,Subject 3822329,/projects/zooniverse/gravity-spy/talk/tags/scratchy;/projects/zooniverse/gravity-spy/talk/tags/noiseband,,,,0,0,0,0,0,0,0,0
1604558279-1673,"Yes, this can be classified as a Blip (with some additional noise present).
The Similarity Search Tool, part of the Gravity Spy Tools linked in white-on-blue from the top of most Gravity Spy pages, is helpful in such cases. You can ask it for 10 images similar to zooniverse ID 40008831, leaving the uniqueid field blank, from I(nter)f(er)o(meters) H1 and L1, all eras, and it'll return mostly unambiguous Blips.
",notes,Subject 40008831,https://gravityspytools.ciera.northwestern.edu/search/;https://gravityspytools.ciera.northwestern.edu/,,TRUE,,0,0,0,0,0,0,1,0
1604724199-6527,"Very faint noise below 50Hz
",notes,Subject 3829041,,,,,0,0,0,0,0,0,0,0
1604547604-351,"#steamwhistle
",notes,Subject 39551410,/projects/zooniverse/gravity-spy/talk/tags/steamwhistle,,,,0,0,0,0,0,0,0,0
1604574979-5021,"Well observed!
This is (a slightly atypical example of) a class originally discovered by Gravity Spy contributors and added to levels 5 and 7 last year under the name Crown. (Others had been reminded of sparrows on a wire, of paw prints, and more.) They are not yet in the Field Guide (an update to the Field Guide is in work), but you'll find more information and examples in the original glitch class proposal thread. At levels 1-4 they can be classified as None Of The Above, but you can already make a collection of them and study their variability. They're almost exclusively a Livingston thing.
",notes,Subject 40371614,/projects/zooniverse/gravity-spy/talk/762/926241,,TRUE,,1,0,0,1,0,1,1,0
1604575858-5192,"repeating low frequency blips, equal period
",notes,Subject 32164966,/projects/zooniverse/gravity-spy/talk/subjects/32164966,,,,0,0,0,0,0,0,0,0
1604723689-12512,"Repeat frequency about 130 RPM
",notes,Subject 3831577,,,,,0,0,0,0,0,0,0,0
1604751159-14936,"170 line with extras at 50 Hz
",notes,Subject 25732159,/projects/zooniverse/gravity-spy/talk/subjects/25732159,,,,0,0,0,0,0,0,0,0
1604503851-2409,"#combination
",notes,Subject 6106616,/projects/zooniverse/gravity-spy/talk/subjects/6106616;/projects/zooniverse/gravity-spy/talk/tags/combination,,,,0,0,0,0,0,0,0,0
1604881543-6562,"no glitch tag, may be basket?
",notes,Subject 8674982,/projects/zooniverse/gravity-spy/talk/subjects/8674982,,,,0,0,0,0,1,0,0,0
1604888302-7531,"extremely loud
",notes,Subject 5806787,,,,,0,0,0,0,0,0,0,0
1604784053-22856,"Maybe a low frequency koi fish? Hard to really tell what this one is
",notes,Subject 25739374,/projects/zooniverse/gravity-spy/talk/subjects/25739374,,,,0,0,0,0,1,0,0,0
1604893722-8358,"Yeah, looks like 80-90 Hz. I've seen another similar to this.
",notes,Subject 3496745,,,,,0,0,0,0,0,0,1,0
1604537376-3823,"#wanderingline - I hardly ever see these!
",notes,Subject 3777865,/projects/zooniverse/gravity-spy/talk/tags/wanderingline,,,,1,0,0,0,0,0,0,0
1604629140-10298,"25fb
",notes,Subject 25744240,/projects/zooniverse/gravity-spy/talk/subjects/25744240,,,,0,0,0,0,0,0,0,0
1604734641-8950,"no glitch
",notes,Subject 5860538,/projects/zooniverse/gravity-spy/talk/subjects/5860538,,,,0,0,0,0,0,0,0,0
1604757583-16760,"This #virgo #blip #dot looks like a #chirp
",notes,Subject 25754209,/projects/zooniverse/gravity-spy/talk/subjects/25754209;/projects/zooniverse/gravity-spy/talk/tags/virgo;/projects/zooniverse/gravity-spy/talk/tags/blip;/projects/zooniverse/gravity-spy/talk/tags/dot;/projects/zooniverse/gravity-spy/talk/tags/chirp,,,,0,0,0,0,0,0,0,0
1604677393-9439,"#lowfrequencysplatter
",notes,Subject 3820937,/projects/zooniverse/gravity-spy/talk/subjects/3820937;/projects/zooniverse/gravity-spy/talk/tags/lowfrequencysplatter,,,,0,0,0,0,0,0,0,0
1604684957-991,"#scattered light
",notes,Subject 6677675,/projects/zooniverse/gravity-spy/talk/subjects/6677675;/projects/zooniverse/gravity-spy/talk/tags/scattered,,,,0,0,0,0,0,0,0,0
1604681025-559,"scattered light arches over a #stubborn_low_frequency
",notes,Subject 10967855,/projects/zooniverse/gravity-spy/talk/subjects/10967855;/projects/zooniverse/gravity-spy/talk/tags/stubborn_low_frequency,,,,0,0,0,0,0,0,0,0
1604733333-8383,"modulated scratchy (2/sec) = crown
",notes,Subject 3777264,,,,,0,0,0,0,0,0,0,0
1604535542-3665,"#massiveMFparallels
",notes,Subject 5804143,/projects/zooniverse/gravity-spy/talk/tags/massiveMFparallels,,,,0,0,0,0,0,0,0,0
1604719268-2986,"@EcceruElme 
",notes,Subject 6073878,/users/EcceruElme,@EcceruElme,,😀,1,0,0,0,0,0,0,0
1604554399-1355,"256 Hz to 270 Hz glitch
",notes,Subject 25661899,,,,,0,0,0,0,0,0,0,0
1604634479-6543,"koi-like blip. #blik
",notes,Subject 3824193,/projects/zooniverse/gravity-spy/talk/subjects/3824193;/projects/zooniverse/gravity-spy/talk/tags/blik,,,,0,0,0,0,0,0,0,0
1604682669-701,"I classified them as pixelated blips, with 3 of them at just 1 sec intervals. The target is like a boot with something sitting on the instep. There are other low energy blips that don't fit the time sequence. Complex
",notes,Subject 10526545,,,,,0,0,0,0,0,0,0,0
1604692049-2115,"Koi fish accompanied by blip
",notes,Subject 3496556,,,,,0,0,0,0,0,0,0,0
1604729096-6935,"#chirp
",notes,Subject 3496776,/projects/zooniverse/gravity-spy/talk/tags/chirp,,,,0,0,0,0,0,0,0,0
1604730061-7587,"#None-of-the-above & why not lets #fly...
",notes,Subject 3496936,/projects/zooniverse/gravity-spy/talk/tags/None-of-the-above;/projects/zooniverse/gravity-spy/talk/tags/fly,,,,0,0,0,0,1,0,0,0
1604716275-11453,"Weak glitches are less important. This is a borderline case though.
",notes,Subject 3498135,,,TRUE,,0,0,0,0,0,0,0,0
1604844750-943,"typical lfb but at higher frequency
",notes,Subject 6092159,/projects/zooniverse/gravity-spy/talk/subjects/6092159,,,,0,0,0,0,0,0,0,0
